Date,Predicted_Close
2023-01-11,388.2917785644531
2023-01-12,388.2082824707031
2023-01-25,393.43890380859375
2023-01-26,393.5730895996094
2023-02-01,401.4346618652344
2023-02-02,401.5258483886719
2023-02-08,410.3752136230469
2023-02-09,410.14862060546875
2023-02-15,406.4505310058594
2023-02-16,406.44940185546875
2023-03-01,394.412353515625
2023-03-02,394.54510498046875
2023-03-08,400.1349792480469
2023-03-09,400.2799072265625
2023-03-15,388.70465087890625
2023-03-16,388.5721740722656
2023-03-22,391.00177001953125
2023-03-23,391.0537414550781
2023-03-29,392.83013916015625
2023-03-30,392.9286193847656
2023-04-05,405.97332763671875
2023-04-06,406.00994873046875
