Date,Predicted_Close
2023-01-09,385.60894775390625
2023-01-10,386.1987609863281
2023-01-23,393.04644775390625
2023-01-24,393.0433349609375
2023-01-30,401.4955139160156
2023-01-31,401.63250732421875
2023-02-06,410.3311767578125
2023-02-07,409.9197082519531
2023-02-13,409.427978515625
2023-02-14,409.1151428222656
2023-02-27,398.5127868652344
2023-02-28,398.50091552734375
2023-03-06,396.70086669921875
2023-03-07,396.85516357421875
2023-03-13,394.62274169921875
2023-03-14,394.4332580566406
2023-03-20,390.1606140136719
2023-03-21,389.93499755859375
2023-03-27,394.66278076171875
2023-03-28,394.6441345214844
2023-04-03,402.4515380859375
2023-04-04,402.5544738769531
