Date,Predicted_Close
2023-01-10,385.67169189453125
2023-01-11,385.8373107910156
2023-01-24,391.6084289550781
2023-01-25,391.53759765625
2023-01-31,403.6429748535156
2023-02-01,403.78680419921875
2023-02-07,412.4295959472656
2023-02-08,412.58837890625
2023-02-14,406.9367370605469
2023-02-15,406.9940185546875
2023-02-28,397.7223815917969
2023-03-01,397.7733154296875
2023-03-07,399.16168212890625
2023-03-08,399.1387939453125
2023-03-14,388.20654296875
2023-03-15,388.4330139160156
2023-03-21,391.14697265625
2023-03-22,391.1716003417969
2023-03-28,392.7323303222656
2023-03-29,392.6859436035156
2023-04-04,405.5838623046875
2023-04-05,405.57745361328125
