Date,Predicted_Close
2023-01-06,386.1106262207031
2023-01-09,386.031005859375
2023-01-20,396.16546630859375
2023-01-23,396.2149658203125
2023-01-27,400.1260070800781
2023-01-30,400.230712890625
2023-02-03,408.50775146484375
2023-02-06,408.6039123535156
2023-02-10,412.3922119140625
2023-02-13,412.27911376953125
2023-02-24,400.622314453125
2023-02-27,400.70062255859375
2023-03-03,397.0719909667969
2023-03-06,397.11322021484375
2023-03-10,398.79705810546875
2023-03-13,398.81256103515625
2023-03-17,389.46533203125
2023-03-20,389.4009704589844
2023-03-24,397.1033935546875
2023-03-27,397.1309509277344
2023-03-31,398.4624328613281
2023-04-03,398.5782165527344
